Component_ID,Lot_ID,Value_0h,Value_24h,Value_96h,Value_168h,Limit,Drift_0_24_per_h,Drift_24_96_per_h,Drift_96_168_per_h,Failure_Flag_168h,Failure_Time_h,RUL_at_168h,Risk
C-100019,L-106,16.985,18.054,23.28,31.269,50.0,0.04455,0.07258,0.11096,0,288,120,Normal
C-100020,L-104,19.172,19.192,21.777,25.059,50.0,0.00082,0.03591,0.04558,0,480,312,Normal
C-100021,L-120,20.878,21.392,25.446,31.601,50.0,0.02143,0.0563,0.08549,0,360,192,Normal
C-100022,L-115,17.321,17.81,20.651,26.232,50.0,0.02036,0.03946,0.07751,0,384,216,Normal
C-100023,L-119,17.968,18.599,24.557,34.905,50.0,0.0263,0.08275,0.14372,0,264,96,Warning
C-100024,L-106,16.778,17.433,22.686,30.862,50.0,0.02729,0.07295,0.11356,0,288,120,Normal
C-100025,L-113,17.724,18.255,22.153,28.9,50.0,0.02212,0.05414,0.0937,0,312,144,Normal
C-100026,L-113,20.709,20.963,23.094,25.628,50.0,0.0106,0.0296,0.03518,0,504,336,Normal
C-100027,L-116,20.473,21.162,23.702,28.49,50.0,0.0287,0.03528,0.0665,0,408,240,Normal
C-100028,L-103,17.468,17.685,20.913,25.967,50.0,0.00905,0.04484,0.07018,0,360,192,Normal
C-100029,L-111,21.405,21.67,24.532,28.559,50.0,0.01104,0.03975,0.05593,0,432,264,Normal
C-100030,L-113,19.308,19.995,23.728,29.877,50.0,0.02865,0.05184,0.08541,0,360,192,Normal
C-100031,L-117,20.444,21.356,22.589,26.123,50.0,0.03797,0.01714,0.04907,0,504,336,Normal
C-100032,L-114,18.901,19.472,24.836,33.263,50.0,0.02379,0.0745,0.11705,0,288,120,Normal
C-100033,L-109,19.747,20.636,23.27,28.085,50.0,0.03703,0.03659,0.06687,0,432,264,Normal
C-100034,L-110,18.331,19.022,23.228,32.534,50.0,0.02881,0.05841,0.12925,0,264,96,Warning
C-100035,L-107,19.086,19.333,21.954,26.075,50.0,0.01028,0.0364,0.05724,0,432,264,Normal
C-100036,L-104,19.893,20.378,22.36,26.684,50.0,0.02023,0.02753,0.06005,0,456,288,Normal
C-100037,L-106,20.419,20.906,26.264,32.943,50.0,0.0203,0.07442,0.09276,0,312,144,Normal
C-100038,L-103,17.617,17.648,21.981,29.488,50.0,0.00127,0.06019,0.10426,0,312,144,Normal
C-100039,L-105,18.149,20.059,25.894,35.831,50.0,0.07958,0.08105,0.13802,0,240,72,Warning
C-100040,L-118,18.541,19.494,25.415,34.779,50.0,0.03973,0.08223,0.13007,0,264,96,Warning
C-100041,L-111,21.716,21.531,28.327,37.322,50.0,-0.0077,0.09438,0.12493,0,264,96,Warning
C-100042,L-102,22.646,23.109,25.477,28.912,50.0,0.01929,0.0329,0.04771,0,504,336,Normal
C-100043,L-109,21.206,21.22,25.469,32.253,50.0,0.00059,0.05901,0.09423,0,312,144,Normal
C-100044,L-106,15.605,16.308,23.204,32.674,50.0,0.02931,0.09578,0.13153,0,240,72,Warning
C-100045,L-114,20.025,20.33,22.61,25.843,50.0,0.01272,0.03167,0.04489,0,504,336,Normal
C-100046,L-117,19.254,19.998,22.774,26.73,50.0,0.03097,0.03856,0.05494,0,408,240,Normal
C-100047,L-101,18.757,18.872,22.482,26.794,50.0,0.0048,0.05014,0.05989,0,384,216,Normal
C-100048,L-110,19.478,19.302,22.374,26.261,50.0,-0.00731,0.04267,0.05399,0,432,264,Normal
C-100049,L-109,20.182,20.806,23.647,28.738,50.0,0.02597,0.03946,0.07072,0,384,216,Normal
C-100050,L-120,21.018,22.013,25.678,31.554,50.0,0.04144,0.05091,0.08161,0,360,192,Normal
C-100051,L-108,16.975,17.473,24.09,33.67,50.0,0.02075,0.09191,0.13305,0,240,72,Warning
C-100052,L-104,19.727,21.069,24.974,32.758,50.0,0.0559,0.05424,0.1081,0,288,120,Normal
C-100053,L-104,19.176,19.869,25.157,32.743,50.0,0.02888,0.07344,0.10537,0,288,120,Normal
C-100054,L-110,18.577,20.25,25.454,34.378,50.0,0.06973,0.07227,0.12394,0,264,96,Warning
C-100055,L-112,19.296,19.922,21.954,26.56,50.0,0.02609,0.02822,0.06398,0,432,264,Normal
C-100056,L-107,19.659,20.476,22.685,27.606,50.0,0.03402,0.03069,0.06835,0,384,216,Normal
C-100057,L-109,21.043,21.833,25.027,28.548,50.0,0.03294,0.04435,0.04891,0,456,288,Normal
C-100058,L-114,20.705,20.706,23.984,28.467,50.0,3e-05,0.04553,0.06226,0,456,288,Normal
C-100059,L-106,22.315,22.95,25.095,28.79,50.0,0.02646,0.02979,0.05131,0,480,312,Normal
C-100060,L-120,21.103,22.247,28.609,38.407,50.0,0.04766,0.08836,0.13608,0,240,72,Warning
C-100061,L-105,20.701,21.032,24.572,29.459,50.0,0.01379,0.04918,0.06787,0,384,216,Normal
C-100062,L-119,22.867,22.941,24.948,27.982,50.0,0.00308,0.02788,0.04213,0,480,312,Normal
C-100063,L-118,21.847,22.416,25.746,31.634,50.0,0.02369,0.04625,0.08179,0,360,192,Normal
C-100064,L-120,22.005,22.588,24.74,29.855,50.0,0.02427,0.02989,0.07105,0,480,312,Normal
C-100065,L-116,19.33,20.123,23.25,28.397,50.0,0.03302,0.04344,0.07147,0,384,216,Normal
C-100066,L-111,21.062,21.708,24.572,30.056,50.0,0.02694,0.03978,0.07615,0,408,240,Normal
C-100067,L-113,19.141,19.881,21.915,25.799,50.0,0.0308,0.02825,0.05395,0,480,312,Normal
C-100068,L-105,18.945,19.393,22.212,27.729,50.0,0.01865,0.03916,0.07663,0,384,216,Normal
C-100069,L-107,19.807,19.14,22.335,26.591,50.0,-0.02778,0.04438,0.05912,0,432,264,Normal
C-100070,L-110,18.631,18.815,21.299,25.722,50.0,0.00764,0.0345,0.06144,0,432,264,Normal
C-100071,L-119,19.224,19.359,24.734,32.366,50.0,0.00562,0.07465,0.10601,0,288,120,Normal
C-100072,L-116,19.284,19.104,21.851,25.467,50.0,-0.00749,0.03815,0.05023,0,456,288,Normal
C-100073,L-112,21.829,21.683,23.969,27.056,50.0,-0.0061,0.03176,0.04288,0,456,288,Normal
C-100074,L-112,20.318,21.484,24.236,29.71,50.0,0.04859,0.03823,0.07602,0,384,216,Normal
C-100075,L-109,18.604,18.156,20.787,25.508,50.0,-0.01867,0.03654,0.06557,0,480,312,Normal
C-100076,L-109,22.323,23.511,29.128,37.98,50.0,0.04948,0.07802,0.12295,0,264,96,Warning
C-100077,L-119,21.641,21.655,24.441,29.994,50.0,0.00058,0.0387,0.07713,0,384,216,Normal
C-100078,L-101,20.437,21.562,26.716,35.45,50.0,0.04687,0.07158,0.12131,0,288,120,Normal
C-100079,L-107,19.431,20.371,25.397,32.587,50.0,0.0392,0.0698,0.09986,0,288,120,Normal
C-100080,L-109,22.946,23.656,28.425,35.431,50.0,0.02957,0.06624,0.09731,0,312,144,Normal
C-100081,L-114,19.065,19.456,24.199,31.748,50.0,0.01627,0.06587,0.10485,0,288,120,Normal
C-100082,L-109,21.727,21.991,25.067,29.81,50.0,0.01103,0.04271,0.06588,0,432,264,Normal
C-100083,L-107,21.43,21.02,23.931,30.218,50.0,-0.01707,0.04042,0.08732,0,384,216,Normal
C-100084,L-102,19.045,19.215,22.772,26.969,50.0,0.00709,0.04941,0.05829,0,408,240,Normal
C-100085,L-106,20.03,20.995,28.397,38.485,50.0,0.04022,0.10281,0.14011,0,240,72,Warning
C-100086,L-103,20.062,20.92,27.8,37.586,50.0,0.03577,0.09555,0.13593,0,264,96,Warning
C-100087,L-115,17.274,18.304,21.47,27.225,50.0,0.04292,0.04397,0.07993,0,360,192,Normal
C-100088,L-109,18.649,18.995,21.25,26.145,50.0,0.01443,0.03132,0.06799,0,408,240,Normal
C-100089,L-105,18.681,19.654,22.356,26.442,50.0,0.04054,0.03753,0.05676,0,456,288,Normal
C-100090,L-111,18.565,19.389,23.442,30.686,50.0,0.03434,0.05629,0.10061,0,312,144,Normal
C-100091,L-110,17.207,17.685,20.684,24.238,50.0,0.01988,0.04166,0.04935,0,432,264,Normal
C-100092,L-110,19.519,20.316,26.058,34.51,50.0,0.03321,0.07975,0.1174,0,264,96,Warning
C-100093,L-112,18.567,18.926,21.813,24.989,50.0,0.01494,0.04011,0.0441,0,480,312,Normal
C-100094,L-113,18.483,19.279,23.796,30.432,50.0,0.03318,0.06273,0.09216,0,312,144,Normal
C-100095,L-104,22.815,23.293,24.816,28.58,50.0,0.01992,0.02115,0.05228,0,480,312,Normal
C-100096,L-104,20.805,21.152,27.099,35.43,50.0,0.01447,0.08259,0.11571,0,264,96,Warning
C-100097,L-115,20.077,20.951,27.797,38.388,50.0,0.03642,0.09509,0.1471,0,240,72,Warning
C-100098,L-120,21.567,22.019,27.615,36.025,50.0,0.01884,0.07772,0.11681,0,288,120,Normal
C-100099,L-111,19.455,20.177,26.049,34.746,50.0,0.03007,0.08156,0.1208,0,264,96,Warning
C-100100,L-110,19.672,20.727,23.075,26.833,50.0,0.04395,0.03261,0.05219,0,456,288,Normal
C-100101,L-113,18.787,19.653,23.696,31.165,50.0,0.03607,0.05616,0.10373,0,336,168,Normal
C-100102,L-101,21.477,20.773,23.274,26.173,50.0,-0.02935,0.03473,0.04027,0,504,336,Normal
C-100103,L-108,17.121,17.71,23.645,32.26,50.0,0.0245,0.08243,0.11966,0,264,96,Warning
C-100104,L-108,20.443,21.293,24.978,31.179,50.0,0.03543,0.05118,0.08612,0,360,192,Normal
C-100105,L-109,16.635,16.878,19.183,23.992,50.0,0.01014,0.03201,0.06679,0,456,288,Normal
C-100106,L-115,17.656,17.847,20.463,23.944,50.0,0.00798,0.03633,0.04834,0,480,312,Normal
C-100107,L-110,18.634,19.359,23.423,29.875,50.0,0.03018,0.05645,0.08961,0,336,168,Normal
C-100108,L-118,19.142,19.771,22.088,26.412,50.0,0.02621,0.03218,0.06006,0,432,264,Normal
C-100109,L-110,18.532,18.111,20.766,24.925,50.0,-0.01752,0.03687,0.05776,0,504,336,Normal
C-100110,L-101,17.783,18.311,21.973,27.15,50.0,0.022,0.05087,0.0719,0,360,192,Normal
C-100111,L-114,21.262,22.464,28.903,39.203,50.0,0.05009,0.08942,0.14307,0,264,96,Warning
C-100112,L-116,21.365,21.122,26.136,34.088,50.0,-0.01011,0.06963,0.11044,0,288,120,Normal
C-100113,L-112,21.855,22.584,26.747,33.575,50.0,0.03039,0.05781,0.09484,0,312,144,Normal
C-100114,L-119,20.728,21.086,24.549,30.454,50.0,0.01492,0.0481,0.08201,0,360,192,Normal
C-100115,L-109,18.362,18.438,24.065,31.593,50.0,0.00317,0.07816,0.10456,0,288,120,Normal
C-100116,L-116,17.22,18.358,24.899,35.658,50.0,0.04744,0.09084,0.14943,0,240,72,Warning
C-100117,L-101,18.868,19.524,25.5,37.24,50.0,0.02735,0.08299,0.16305,0,240,72,Warning
C-100118,L-101,21.37,22.161,26.776,34.532,50.0,0.03296,0.0641,0.10772,0,312,144,Normal
C-100119,L-116,22.535,22.991,24.461,29.092,50.0,0.01903,0.02042,0.06431,0,480,312,Normal
C-100120,L-118,19.394,19.586,23.254,28.085,50.0,0.00803,0.05094,0.06709,0,360,192,Normal
C-100121,L-111,20.997,21.227,25.655,32.374,50.0,0.00957,0.06149,0.09332,0,312,144,Normal
C-100122,L-116,18.422,19.054,21.175,24.45,50.0,0.02633,0.02947,0.04548,0,504,336,Normal
C-100123,L-107,19.971,21.008,27.032,36.433,50.0,0.04318,0.08367,0.13057,0,264,96,Warning
C-100124,L-115,22.438,23.2,25.403,29.043,50.0,0.03174,0.0306,0.05055,0,456,288,Normal
C-100125,L-110,23.031,23.821,30.164,41.932,50.0,0.03292,0.08809,0.16346,0,240,72,Warning
C-100126,L-107,19.356,19.225,25.301,33.764,50.0,-0.00548,0.08439,0.11754,0,288,120,Normal
C-100127,L-102,19.629,19.818,22.462,27.385,50.0,0.00788,0.03672,0.06837,0,384,216,Normal
C-100128,L-104,22.811,23.384,27.154,32.921,50.0,0.02386,0.05236,0.0801,0,384,216,Normal
C-100129,L-119,19.165,19.854,21.775,25.721,50.0,0.02871,0.02669,0.0548,0,504,336,Normal
C-100130,L-109,18.546,19.127,22.873,28.93,50.0,0.02421,0.05203,0.08412,0,336,168,Normal
C-100131,L-120,18.622,19.16,21.669,25.07,50.0,0.02244,0.03484,0.04724,0,480,312,Normal
C-100132,L-108,18.598,19.055,21.714,26.069,50.0,0.01904,0.03694,0.06048,0,480,312,Normal
C-100133,L-102,21.263,21.354,24.284,29.556,50.0,0.00379,0.0407,0.07322,0,384,216,Normal
C-100134,L-106,21.574,22.167,27.382,37.094,50.0,0.02468,0.07244,0.13489,0,264,96,Warning
C-100135,L-108,19.055,19.534,23.942,31.158,50.0,0.01996,0.06123,0.10022,0,312,144,Normal
C-100136,L-115,18.922,19.12,24.569,33.558,50.0,0.00826,0.07568,0.12484,0,264,96,Warning
C-100137,L-115,20.326,20.876,25.812,33.011,50.0,0.02293,0.06855,0.09999,0,312,144,Normal
C-100138,L-115,21.495,21.345,25.637,31.408,50.0,-0.00621,0.0596,0.08016,0,336,168,Normal
C-100139,L-107,18.237,18.624,21.508,25.926,50.0,0.01611,0.04006,0.06136,0,384,216,Normal
C-100140,L-108,20.532,21.014,26.944,35.612,50.0,0.02009,0.08237,0.12038,0,288,120,Normal
C-100141,L-112,18.687,18.426,21.201,24.378,50.0,-0.01088,0.03855,0.04413,0,504,336,Normal
C-100142,L-113,21.272,21.51,23.99,27.813,50.0,0.0099,0.03445,0.0531,0,408,240,Normal
C-100143,L-109,19.267,19.838,23.36,28.564,50.0,0.02377,0.04893,0.07228,0,360,192,Normal
C-100144,L-104,20.926,21.918,24.765,28.765,50.0,0.04134,0.03954,0.05557,0,432,264,Normal
C-100145,L-116,19.938,21.133,25.672,34.819,50.0,0.04981,0.06304,0.12705,0,264,96,Warning
C-100146,L-111,19.971,21.207,26.739,35.227,50.0,0.05153,0.07682,0.11789,0,264,96,Warning
C-100147,L-120,19.12,19.357,23.25,27.598,50.0,0.00986,0.05408,0.06038,0,384,216,Normal
C-100148,L-119,19.161,19.126,21.909,26.285,50.0,-0.00146,0.03865,0.06078,0,408,240,Normal
C-100149,L-118,19.642,20.216,24.283,31.198,50.0,0.02392,0.05649,0.09603,0,336,168,Normal
C-100150,L-120,20.759,21.281,24.901,30.772,50.0,0.02177,0.05028,0.08154,0,360,192,Normal
C-100151,L-113,21.182,22.269,27.434,37.035,50.0,0.04527,0.07174,0.13335,0,264,96,Warning
C-100152,L-106,20.473,21.002,25.825,35.165,50.0,0.02205,0.06699,0.12972,0,264,96,Warning
C-100153,L-104,18.633,19.797,26.297,36.021,50.0,0.04847,0.09028,0.13505,0,240,72,Warning
C-100154,L-103,20.266,20.073,23.556,28.232,50.0,-0.00804,0.04838,0.06495,0,384,216,Normal
C-100155,L-119,19.459,19.617,22.022,25.833,50.0,0.00658,0.03341,0.05293,0,504,336,Normal
C-100156,L-106,16.642,17.733,20.383,24.491,50.0,0.04546,0.03681,0.05706,0,432,264,Normal
C-100157,L-101,20.851,21.572,23.104,27.095,50.0,0.03004,0.02128,0.05543,0,480,312,Normal
C-100158,L-101,21.096,21.014,24.219,28.319,50.0,-0.00342,0.04451,0.05695,0,432,264,Normal
C-100159,L-106,17.86,17.953,20.216,23.701,50.0,0.00388,0.03142,0.0484,0,504,336,Normal
C-100160,L-120,20.989,21.638,26.151,33.353,50.0,0.02707,0.06268,0.10002,0,312,144,Normal
C-100161,L-106,18.739,19.184,21.787,25.415,50.0,0.01854,0.03615,0.05039,0,456,288,Normal
C-100162,L-103,19.729,19.939,24.819,32.425,50.0,0.00875,0.06777,0.10563,0,288,120,Normal
C-100163,L-114,20.017,21.07,24.697,32.25,50.0,0.04389,0.05037,0.1049,0,360,192,Normal
C-100164,L-102,19.413,20.261,26.492,35.654,50.0,0.03534,0.08654,0.12725,0,264,96,Warning
C-100165,L-110,20.9,22.038,25.849,32.501,50.0,0.04742,0.05294,0.09238,0,312,144,Normal
C-100166,L-102,19.272,19.486,24.618,32.52,50.0,0.0089,0.07128,0.10975,0,288,120,Normal
C-100167,L-102,20.547,21.451,27.905,37.978,50.0,0.03768,0.08964,0.1399,0,240,72,Warning
C-100168,L-108,19.129,20.146,26.467,36.104,50.0,0.04237,0.08779,0.13385,0,264,96,Warning
C-100169,L-101,17.287,18.962,26.194,37.064,50.0,0.06979,0.10045,0.15097,0,240,72,Warning
C-100170,L-118,19.86,20.472,26.953,36.864,50.0,0.02547,0.09001,0.13766,0,240,72,Warning
C-100171,L-113,16.079,16.953,21.749,28.699,50.0,0.0364,0.06662,0.09652,0,288,120,Normal
C-100172,L-119,22.317,22.745,24.59,28.619,50.0,0.01784,0.02562,0.05596,0,456,288,Normal
C-100173,L-110,21.419,22.598,25.787,31.983,50.0,0.04915,0.04429,0.08606,0,360,192,Normal
C-100174,L-112,17.471,17.279,19.969,24.544,50.0,-0.00801,0.03736,0.06354,0,456,288,Normal
C-100175,L-113,18.66,19.286,24.53,32.83,50.0,0.02611,0.07284,0.11527,0,264,96,Warning
C-100176,L-110,19.992,20.427,23.672,28.063,50.0,0.01815,0.04507,0.06099,0,408,240,Normal
C-100177,L-112,20.465,22.287,27.813,38.144,50.0,0.07595,0.07674,0.14348,0,264,96,Warning
C-100178,L-112,19.339,20.3,22.801,26.246,50.0,0.04008,0.03473,0.04784,0,504,336,Normal
C-100179,L-118,19.062,19.8,22.876,28.21,50.0,0.03075,0.04272,0.07409,0,360,192,Normal
C-100180,L-107,22.315,22.964,25.338,28.815,50.0,0.02706,0.03297,0.0483,0,456,288,Normal
C-100181,L-119,19.713,20.221,24.003,30.23,50.0,0.02117,0.05252,0.08649,0,336,168,Normal
C-100182,L-104,18.796,18.791,21.941,26.443,50.0,-0.00023,0.04375,0.06253,0,432,264,Normal
C-100183,L-104,17.913,18.559,20.749,24.711,50.0,0.02691,0.03042,0.05504,0,456,288,Normal
C-100184,L-106,23.426,23.642,29.632,37.631,50.0,0.00899,0.0832,0.11109,0,264,96,Warning
C-100185,L-119,20.784,20.893,25.352,32.674,50.0,0.00455,0.06193,0.10169,0,312,144,Normal
C-100186,L-105,17.759,17.662,20.018,23.362,50.0,-0.00406,0.03273,0.04644,0,456,288,Normal
C-100187,L-116,18.739,19.502,24.728,32.611,50.0,0.03179,0.07258,0.10949,0,312,144,Normal
C-100188,L-112,18.513,18.537,23.185,30.583,50.0,0.00101,0.06456,0.10274,0,336,168,Normal
C-100189,L-113,19.548,20.242,22.54,26.752,50.0,0.02892,0.03192,0.05849,0,432,264,Normal
C-100190,L-102,21.918,22.562,27.312,34.66,50.0,0.02683,0.06598,0.10205,0,288,120,Normal
C-100191,L-114,20.169,20.382,23.286,27.071,50.0,0.00889,0.04033,0.05257,0,408,240,Normal
C-100192,L-102,20.065,20.953,26.56,35.953,50.0,0.03698,0.07788,0.13046,0,264,96,Warning
C-100193,L-111,17.492,17.72,22.349,29.393,50.0,0.00951,0.06429,0.09783,0,312,144,Normal
C-100194,L-116,20.33,21.241,23.104,25.913,50.0,0.03794,0.02588,0.03901,0,504,336,Normal
C-100195,L-119,20.446,21.585,26.743,35.337,50.0,0.04743,0.07164,0.11937,0,288,120,Normal
C-100196,L-120,17.923,18.442,24.551,33.157,50.0,0.02162,0.08485,0.11952,0,264,96,Warning
C-100197,L-105,18.388,19.218,26.625,37.536,50.0,0.0346,0.10287,0.15154,0,240,72,Warning
C-100198,L-116,19.627,20.112,22.1,25.844,50.0,0.02022,0.02761,0.052,0,504,336,Normal
C-100199,L-112,19.582,20.133,22.438,27.193,50.0,0.02295,0.03202,0.06603,0,408,240,Normal
C-100200,L-115,19.012,19.197,22.459,29.26,50.0,0.00767,0.04532,0.09445,0,336,168,Normal
C-100201,L-117,19.611,20.324,26.795,35.221,50.0,0.0297,0.08987,0.11703,0,264,96,Warning
C-100202,L-110,20.828,21.444,24.466,30.761,50.0,0.02564,0.04197,0.08743,0,360,192,Normal
C-100203,L-103,17.351,17.675,20.36,24.784,50.0,0.0135,0.0373,0.06143,0,384,216,Normal
C-100204,L-116,19.442,20.227,24.713,31.55,50.0,0.03273,0.0623,0.09496,0,312,144,Normal
C-100205,L-113,22.049,23.185,25.312,29.225,50.0,0.04733,0.02954,0.05434,0,456,288,Normal
C-100206,L-103,19.948,19.853,23.364,28.002,50.0,-0.00394,0.04875,0.06442,0,408,240,Normal
C-100207,L-109,18.317,18.16,21.909,27.044,50.0,-0.00651,0.05206,0.07132,0,384,216,Normal
C-100208,L-103,18.483,19.479,22.079,26.32,50.0,0.04149,0.03612,0.0589,0,504,336,Normal
C-100209,L-116,17.797,19.49,22.142,27.836,50.0,0.07056,0.03682,0.07909,0,384,216,Normal
C-100210,L-107,20.347,20.965,23.145,27.399,50.0,0.02573,0.03028,0.05908,0,432,264,Normal
C-100211,L-102,20.148,20.619,22.119,26.036,50.0,0.01961,0.02084,0.0544,0,480,312,Normal
C-100212,L-106,15.746,17.159,23.57,34.731,50.0,0.0589,0.08904,0.15502,0,240,72,Warning
C-100213,L-113,20.926,21.037,27.032,36.712,50.0,0.00465,0.08326,0.13444,0,264,96,Warning
C-100214,L-112,20.27,20.553,24.494,29.573,50.0,0.01182,0.05474,0.07054,0,360,192,Normal
C-100215,L-118,19.908,20.384,22.422,26.869,50.0,0.01984,0.02831,0.06177,0,480,312,Normal
C-100216,L-108,19.089,20.161,22.817,27.945,50.0,0.04466,0.03689,0.07122,0,384,216,Normal
C-100217,L-113,19.617,19.934,26.724,36.722,50.0,0.01324,0.09431,0.13886,0,264,96,Warning
C-100218,L-119,17.359,17.35,21.273,29.294,50.0,-0.00035,0.05447,0.11141,0,336,168,Normal
C-100219,L-107,20.079,19.701,21.846,25.041,50.0,-0.01574,0.02979,0.04438,0,504,336,Normal
C-100220,L-101,16.796,17.431,19.915,25.127,50.0,0.02647,0.03449,0.07239,0,432,264,Normal
C-100221,L-114,19.143,19.205,27.602,38.078,50.0,0.00258,0.11662,0.1455,0,240,72,Warning
C-100222,L-113,19.61,20.66,24.347,30.557,50.0,0.04373,0.05121,0.08624,0,336,168,Normal
C-100223,L-107,20.173,20.862,23.293,29.099,50.0,0.02868,0.03377,0.08063,0,384,216,Normal
C-100224,L-112,21.052,20.825,25.089,29.912,50.0,-0.00944,0.05922,0.06699,0,384,216,Normal
C-100225,L-114,18.01,18.4,21.561,27.145,50.0,0.01622,0.04391,0.07755,0,408,240,Normal
C-100226,L-117,16.124,16.455,20.541,26.312,50.0,0.01379,0.05675,0.08015,0,360,192,Normal
C-100227,L-103,18.765,19.891,23.446,30.184,50.0,0.04691,0.04937,0.09359,0,312,144,Normal
C-100228,L-110,16.76,17.575,22.242,29.172,50.0,0.03394,0.06482,0.09624,0,312,144,Normal
C-100229,L-106,13.538,14.992,21.849,32.787,50.0,0.06061,0.09524,0.1519,0,240,72,Warning
C-100230,L-107,19.791,19.951,24.231,30.907,50.0,0.00667,0.05944,0.09273,0,312,144,Normal
C-100231,L-101,19.945,20.686,22.324,26.112,50.0,0.03091,0.02275,0.0526,0,504,336,Normal
C-100232,L-109,20.388,21.091,27.814,38.079,50.0,0.02931,0.09338,0.14257,0,240,72,Warning
C-100233,L-102,20.153,20.85,23.709,28.561,50.0,0.02905,0.03971,0.06739,0,384,216,Normal
C-100234,L-119,20.689,21.182,28.337,39.637,50.0,0.02054,0.09937,0.15695,0,240,72,Warning
C-100235,L-112,16.477,17.419,19.441,22.983,50.0,0.03926,0.02808,0.0492,0,504,336,Normal
C-100236,L-109,19.271,20.065,24.958,31.978,50.0,0.03308,0.06797,0.0975,0,312,144,Normal
C-100237,L-105,18.894,19.554,22.333,27.597,50.0,0.02752,0.0386,0.07311,0,360,192,Normal
C-100238,L-119,18.969,19.172,21.885,25.916,50.0,0.00844,0.03769,0.05598,0,456,288,Normal
C-100239,L-111,17.61,18.806,22.187,29.227,50.0,0.04981,0.04696,0.09779,0,312,144,Normal
C-100240,L-120,19.815,19.856,23.987,29.429,50.0,0.00171,0.05737,0.07558,0,336,168,Normal
C-100241,L-114,20.62,21.501,23.711,26.447,50.0,0.03672,0.0307,0.03799,0,504,336,Normal
C-100242,L-120,17.041,17.13,22.428,29.619,50.0,0.00371,0.07359,0.09988,0,288,120,Normal
C-100243,L-118,24.129,23.999,26.164,30.438,50.0,-0.00542,0.03007,0.05936,0,456,288,Normal
C-100244,L-115,21.486,21.772,23.844,27.682,50.0,0.0119,0.02877,0.05331,0,480,312,Normal
C-100245,L-108,19.354,19.27,22.227,25.805,50.0,-0.0035,0.04107,0.04969,0,456,288,Normal
C-100246,L-116,20.402,20.812,23.98,28.938,50.0,0.01709,0.04401,0.06885,0,384,216,Normal
C-100247,L-107,20.885,20.842,23.367,27.217,50.0,-0.0018,0.03507,0.05348,0,480,312,Normal
C-100248,L-118,20.234,20.145,21.863,26.471,50.0,-0.00371,0.02386,0.064,0,456,288,Normal
C-100249,L-107,18.479,18.47,21.769,26.446,50.0,-0.00036,0.04582,0.06495,0,384,216,Normal
C-100250,L-102,18.531,19.178,20.34,24.084,50.0,0.02697,0.01614,0.05199,0,504,336,Normal
C-100251,L-103,18.33,19.042,25.955,36.671,50.0,0.02966,0.09602,0.14883,0,240,72,Warning
C-100252,L-110,21.477,21.955,25.132,29.714,50.0,0.01992,0.04412,0.06364,0,384,216,Normal
C-100253,L-114,18.651,19.545,23.0,27.701,50.0,0.03724,0.04799,0.06529,0,384,216,Normal
